Múcaria úngí ndamwagaga
Kúhoya kwa arúme ní maitho
Kúhoya ti kúiya
Kúnyiha kana gúkuhíha ti gútinio
Kúrí arúme na maiyúria ndua
Ndurumo igírí itiguanaga ikígamba
ítarí ngírime ndírutaga igongona
Kúira ti kúrita
Cia athuri inyuagíra thutha
Gatinyinyiraga gatarí gakunye
Ngerewani ndítúngagwo
Njogu ndíremagwo ní múguongo wayo
Muici athínagia nginya múrogi
Kanyoni kabariti níko keninagíra njoya
Kúríma ní kwíenda
Múthica úngí ndamúthúire
Ciumaga igúrú irí ndinangie
Karí nda gatiíyumbúraga
Thoni cia arúme irí igoti
Nyúmba na nyúmba itirímanagíra
Múndú aríyaga múrínga wa nyina
Werú úrí maganbo
ihiga ría múthuri mwene múcií rítiogokagio
Mwaki úhoyagwo kúría kúrí
Hiti ítaga íría íngí wamútírí
Gútirí kúraya kwí njahí húre
Kírimú kíahúna kiugaga níkíanora
Gútirí úí ta Ngai
Múndúrúme ní kíenyú kía Ngai
Kírimú kíega no kía iria
Múrími ndoinagwo moko
Nga'ragu ííhaga íkiumwo
Múrími múgí ndaríaga mbeú tondú akahanda kí mbura yoira
Thína ndúrí míri
Gútirí mbura yuraga na ndíkie
Útatiga ndakoraga
úhoro ndúmataga ta iria
Ndeto ithúkagio ní gútenderio
Múría rúnene ndarúríagíra
Gútirí ngoma yagaga múhoreria
Kahíí kogí nígatuga kwao
Gakiríte ta kaihúríirwo
Mícií yúraga ngo ciaigírírwo makúmbíiní
Gútirí írumaga kerí
nyanja ímwe ndítiragia itega
Ngúmo ndíigana mwene
Ngwací ya mwana wene ní yo íhoragia mwaki
Útakanyuíríire ndoí karí rita
Gútirí gíthínji útathínja
Ndeto itikagio ta njúgúma
Gútirí wíenjaga igoti
Múcií úkuaga ngagúro
Kímenyi úmwe ndatúraga
írí kugírwo mbu ní aka ndítúraga
Múría wiki akuaga wiki
Múici útarí múnyite ní múría gake
Kúhoha ti kúma
Gúthekio ti kúendwo
Gúeterera ti kúinaina
Múgúnda múkúrú úrí úmatho
Hiti húnu ítaga hiti hútu ngoroku
Gútirí wíriraga agíthií ta agícoka
Múnyaka ndúthukagírwo mwano
Gweterera ti kúinaina
Múúgí ní mútare
Gíikaro kímwe kírí ndaa
Múgiti ndagaga rúhara
Mútumia múkúrú acokagírírwo na maithori
Múcarí úrutagwo ndúgúiní
Cia mbúri ní hía
Múndú úrí na rwake atihagio ní múengú wa múka
Múndú úrí na rwake ahítúkaga ngúi akarúmwo ní mbúri na agakua
Úthoni ndúraragwo
Ngarí íhítagwo ní múndú na múthoniwe
Mbúri ítúragio ní rúa
Hiti ndíríyaría mwana wayo
Hiti írí kínyiria ndínoraga
Hiti itikaranagia ní kwendana ní kúgitaníra
Watho úmunyaga kahúa
Warúgaga níatobokaga
Wainaga níeroragíra
Ya múndú úmwe íthiagírwo gútuka
Mwana wí kío ndagaga múthambia
Nda ndírí gícicio
Nda ndírí ime
Njamba íkuaga na matanya
Cia múkarí iríagwo na mambura
Mwíríríri ndegunaga
Thayu wa ngoro ní útonga
Nyenda thíí ndíagaga mútegi
Kírimú kía gwítua gíkíríte kía múciaríre
Guoya útúragia guoya múcií
Mbúri ya rwanio íkuaga o na rwanio
Múgeni ní rúíí
Mwíhoki múndú ní múrume
Kíúra kíaringio rúí kiugaga níkío kíeringia
Kíero ní úimbo ní kíimbúkaga
Múcera na múkúndú akúndúkaga o take
Kíamía kímwe ciamía ciothe
Gíkuú ti úgeni
Nyenje í gútú íhúgagia mwene
Ena mwene ta múrimú wa útukú
Gútirí nyama na ngurunyu
Handú harí ithage harí múgumo
Múciríri kírimú ndaigaga múthígi thí
Kanya gatune ní mwamúkanírio
Gúciara úru ti kwenda kwa mwene
Kíguoya kíainúkíire nyina
Gúkuhíríria mbara ti kúrúa
Gútirí múcií wí mwana wa kahíí útakaharwo mútwe
Mútwe ní wa mbúri kíongo níkío kía múndú
Gúthinga gúkíríte gútonga
Gútirí úríragio ní útonga no úkía
Gútirí múndú wendete gútúngana na nyoni njúru
Úthaka ndúríyagwo
Múrío úrutaga húngú mútí igúrú
Kanua karí na mata gatiagaga wa kuuga
Ona kírimú nígíkúraga
Yaikio íikagia íría íngí
Ndíkayaga ítarí núme
Ya gwíthuríra ndírí ihíndí kana gorwe
Wa Ngai úraragio ní magoto
Wíra wa mwítúmo ndúremaga
Thuti ndúrí ruo
Kiritithia thuti kagío
Nyoni íkúhúma ndírí mútí ítombaga
Cira múnene ní úkía
Cia kíonje itigayanagwo gítanakua
Gakííhotora níko koí úría karíina
Mwende kagwací gatundu ní mwenjeri
Mwaria ciene arigagwo ní ciake
Mwetereri aríaga ya múgwatio
Ngarari nyingí ní kamena
Thúú ndíagaga mwenji
Thúú ndígúaga haría íikagio
Kírimú kígerekanagia gíkuú na toro
Ndúgú nyingí ithatagia múhuko
Múgathí wa kuona úteyaga wa mwene
indo ciene inoragia múndú itina rimwe
Andú maiganaine magíthií na magíceera
Múcaria mbúri na uría úmíríte ndamíonaga
Ciira wothe wambagírírio na nda
Ciunagwo rúkomo kímenyi akamenya ikiunwo
Kúhika kwa arúme ní gúthama
Gíthaaka kía múici ní gúkana úndú
Nígúcukagwo utagúteo
Múthuri múndú ti we Ngai
Kíruka gía kíímbu gítithiragwo ní múng'úng'útú
Múthuri útarí kahíí níwe wíriragíra ngúrúrú
Úrí kúhítia na mbugi ndúrathaga na njoya
Úrutagwo mwíruti
Ka múingí koyaga ndírí
Múúgí ní mútaare
Útenderú úrí nja ndúrí mwithemere
Werú wa arúme ndúagaga kúnunga
Múka úrí mwana ndoraga
Kahíí kogí ta ithe kabaritaga ta mígwí
Gútirí múthenya úkíaga ta úría úngí
Gútirí úthúire tiga akíaga
Mútumia mwega ní wa múthuri úmwe
Ría múnyangatí (múka kana múirítu múrúngíríru) ríhithagwo ta itina ría ng'ondu no ti ta ríathenge
Múrío ní húni ndarumaga andú aao
Kaba úhere mwene no nií únyime
Arúme matiendaga kúonio ndirúrie nímegúterema na marute wíra múúru
Ndeto ithiragíra itherúiní
Kíríra ní úrathoni
Ciatura ngúyú (núgú kana nyoni) iríaga ng'umo
Múcií wa múthuri ndúagaga inooro
Múcií wa múthuri ndúagaga mútí wa múkúngúgú
Gútirí kíhiko gítatúirie kíngí
Ndúkaroge ciakwa úkíroga ciaku
Ndeto ciaritúha wíhúge ndúkagíre rúrigi rwa kúnyitia wííríte ní rwa kúregeria
No kírimú gítacenjagia
Kinyi níúkinyúkagio
Kúngúiyú ya iiyu yumaga mburungo
Gútirí rúru rwagaga njaú
ikundo ría kírimú ríkundúragwo no kío
Wendo múnene ndúkinyaga
Múthuri aikaire thíí onaga haraya kurí kíhíí kírí mútí igúrú
Mwaríki úrutagia irima na thíí
Ndíakagwo ta ya wakiní no ní íiyagwo múrathíre
Múígerekanio waríire ciúra
Gúciara kuunaga irigú ngingo
Múgathí wene únogagia ngingo
Útarí mbúri ndaragia cia múka
Kígoci kía múndú ti kía mútí
Mútí múmú ndúciaraga múigú
Ngoi ndítumagwo mwana ataciarítwo
Útonga ní matigari ma nda
Hiti írí múnyaka yumaga ngarí thutha
O útukú na ikereka ría rúhía
Mwaka wa hiti ndúhoyanagwo rigí
Kwíyonera ní kwega gúkíra kwírwo
irí kanua itirí nda
Thingo irí matu
ihu rí gute nguo rítihithíkaga
Andú maronana marí nduíríro
itherú ní mehia
Kenyú na kenyú cioyanagíra nda
Múguí wa útukú úcokagio na útukú
Kíría gíkenagia ngúkú ti kío gíkenagia rwígí
Ritho ría Ngai rítirí njereri
Ngemi cia mwana ti nyingí ta kíríro mathikoiní
Mícingú írí yoinire hiti magúrú
Kaihú gacangacangi gatigaga kwao kúgíthínjwo
Gúkira ti kúrita
ítarí gorwe ndíagaga múríi
Kúría mbere ti gúkoroka
Múrogi ti múragúri
útonga ní (umaga kana úheanagwo) wa Ngai
Gútirí útarí tene wake
itininanagíra nyeki
Gúciara ti kúmía
Múcií úmenyagwo ní múrari ti múroki
igego ríthekagia itimú
Kírema arúme ní kígariúre
Karega nyina gatihonaga
Múgúnda wa kúúra wambagíríria na rútere
Úhoro úthiaga ta rúhuho
kúgitíra ta ndúma cia mwanake
Mwaníki wa mwatú ambaga kwíaníka
Maitho na arúme ní wa irang'a
Wendo umaga kúraya
Wakahare akuire agicaria ngemi
Ngemi ciumaga na múcií
Múthamaki aumaga kwí Ngai (na igúrú)
Múcií úrí na inooro ndútuhagia túhiú
Ya ciara mahatha yongithagia meerí
Ngoma ti múhika na ihuu
Ya ciara mwaki nî yongithagia.
Ya ciara mwaki no nginya icûne
Ya gwîthurîra ndîrî gorwe.
Ya gwîthurîra ndîrî ihîndî.
Ya ikio îikagia îrîa îngî
Ya kûheo ndîroragwo magego
Ya kûhîa îhîaga na ma mbere.
Ya matharara îgwatagia ya nyeki.
Ya mwene ndîrî njereri.
Ya rika îthînjaga na mweri.
Ya rika rîngî îrîaga îkîhurunjaga.
Ya rûanio îkuaga ona rûanio
Yaikio îikagia îngî.
Yambagio maî nî îhîî nyene
Yanagîria kayo
Yenda mûno îkûraga rûrîra
Yûmbûkaga na kîrîa îmeretie
Ageni erî matirî mûtugîre
Ageni na karirûi kao
Aka erî nî nyûngû igîrî cia ûrogi
Aka matirî cia ndiiro no cia nyanîko
Aka na ng'ombe itîrî ndûgû
Andû matiûî ngamini
Arûme mee rwamba
Cia kîonje itigayagwo gîtanakua
Cia korire Wacû mûgûnda
Cia mûciî irî gacûgûma gacio gatathûkagio nî mûthuri ûngî tiga mweneguo
Cia mûciî itiumaga ndîra
Cia mûciî ti como
Cia mûkarî irîyagwo na mambura
Cia thua ndongoria itikinyagîra maî
Cia thua ndongoria itikinyagîra nyeki
Cia thûgûrî itiyûraga ikûmbî
Cia tura ngûyû irîaga ng'umo
Cia ûthoni ciambaga nguhî
Cia werere itigunaga
Cia werere itinyitaga moko.
Ciana cia ndigwa itirî maithori
Ciathanaga ikîgwa itiathanaga ikîûmbûka
Ciathanaga ikîûmba no ikîûmbûka o kaihû na kwao
Ciîrigithagia aturi ciûîî no irîturwo
Cira mûnene nî ûkîa
Cira mûnene nî wa ûthoni ûgîkua
Cira wa kîrimû ûtûraga kîharo
Cira wa mûciî ndumagio kîharo
Cira wothe wambagîrîrio na nda
Ciumaga igûrû irî ndinangie.
Ciunagwo rûkomo kîmenyi akamenya ikiunwo
Gakîîhotora nîko koî ûrîa karîina
Gakuire igîkimwo
Gatamî karî mondo yene gatingîkûratîra nguo
Gatarî hinya kanyuaga munju
Gathutha konagia mûndû njîra
Gatinyinyiraga gatarî gakunye
Gatitû ka mûimwo nî irî noko karî mîtî.
Gatitû ka ngoro gatiunagwo
Gatuma kainagia mûrigwa
Gatûndû koragithirie Watatua.
Gîa atumia gîtîkagio kîarara.
Gîathî gîtharagio nî gaka kamwe.
Gîathî kîa ngûha nî gûtû.
Gîathî kîrî mûrugîrwo
Gîathî kîrîagwo na kîngî
Gîathî kîûmû no kîa mûrokero.
Gîcigo kîa mûgûnda gîtinyihaga.
Gîcinga kîmwe gîtitûnganagia mwaki
Gĩikaro kĩmwe nĩ kĩrĩ ndaa
Gĩkũrũ kĩega no kĩratina
Gĩkuũ gĩtiraragĩrio
Gîkuû kîa nûgû gîakinya mîtî yothe nî îtenderaga.
Gîthaka gîkwania mbwe, kîendaga andû mendaine.
Gĩthaka kĩa mũici nĩ gũkaana
Gĩthũmba gĩtirĩ mũrimũ wa ngoro
Gĩthũri kĩrĩ mwatũ wa ngotoko
Gîtiiro kîa mûka wene kîamûkagîrwo athiî
Gîtoî kîmenyaga kîerwo
Gĩtoĩ kĩraragia kĩũĩ njĩra
Gĩtonga kĩgiragio iganjo gĩkarĩma
Gĩtonga kĩrĩaga mũnyuko
Gîtumumu gîtionagia kîrîa kîngî njîra.
Gũceera nĩ kũhĩga
Gũcekeha ti gũicũhio
Gûciara ûru ti kwenda Kwa mwene
Gũcukagwo ũtagũteo
Gûeterera ti kûinaina.
Gûgûkîa gûtirî ngware î mbico
Gũĩka wega kũmathaga ũngĩ
Gũkĩara na gũtonga ititiganaga
Gũkira kũrĩ ngatho
Gũkira nĩ gũthũrana
Gũkuhĩrĩria mbaara tikuo kũrũa
Gũkungagwo ũtukũ ti mũthenya
Gũkũra nĩ kũũru; ngathiî ũrĩrĩ ngĩcayaga
Guota mwaki nĩ gũcera
Guoya ũtũũragia ũkĩa mũciĩ
Gũteithagio wĩteithĩtie
Gũtema na kanua ti gĩtema na rũhiũ
Gũthama nĩkuo kũhika kwa arũme
Gũthekererwo nĩ andũ ti kũrĩrĩrwo nĩ hiti
Gũthekererwo ti kũrĩrĩrwo
Gũthekio ti kwendwo
Gũthiĩ gũtigiragia mũndũ acoke
Gûthiî kûingî nî kuona maingî.
Gũthiĩ kuonagia mũndũ njĩra
Gũthukagĩrio wanatega itega
Gũthura ng’ombe nĩ gũthura kamũkwa kayo
Gũthuragwo mũndũ ũrĩendwo
Gũtirĩ gĩtatũirie kĩngĩ
Gũtirĩ gĩthĩnji ũtathĩnja
Gũtirĩ gũkũra na kũrara kerĩ
Gûtirî îkayaga îtarî nûme
Gûtirî îrî mûkanye îkanyagîra îrîa îngî.
Gũtirĩ ita rîthiagwo na gĩtete kĩa njohi no gĩa ũcũrũ
Gûtirî kîmenyi ûmwe ûtûire
Gûtirî kîrûmi na ngarî
Gũtirĩ mbura ĩtarĩ na gĩtonga kĩayo
Gũtirĩ mũciĩ ũrĩ kahĩĩ ũtakarigwo mũtwe
Gũtirĩ mũici na mũcũthĩrĩria
Gũtirĩ mũki ũrehage ũrugarĩ
Gũtirĩ mũndũ ũĩ harĩa egũthiĩ no harĩa ekuuma
Gũtirĩ mũndũ ũtangĩtuĩka wa ndigwa
Gũtirĩ mũndũ wendaga gũtũngana na nyoni njũru
Gũtirĩ mũndũ wonaga wega wake, no kuonwo wonagwo
Gûtirî mûnini mûkîa
Gũtirĩ mũrĩo ũtainagia rũthĩa
Gũtirĩ mũthenya ũkĩaga ta ũrĩa ũngĩ
Gũtirĩ mũtumia wenjagĩrwo mbuĩ kwa nyina
Gûtirî mwana na rîana
Gũtirĩ mwana ũngĩtema agĩtemera ithe
Gûtirî ngware îtare mûhurîrie wayo.
Gûtirî ngware îtoî kîmamo kîayo.
Gũtirĩ ngware nyinyi mahurĩrio-inĩ
Gũtirĩ njamba ĩrũmaga imera igĩrĩ
Gũtirĩ nyama na ngirinyũ
Gũtirĩ nyoni njega mwere-inĩ
Gûtirî rîaraga rîkaga muoti
Gũtirĩ rĩtwa rĩtakũria mwana
Gũtirĩ thingira ũciraga ta ũngĩ
Gũtirĩ ũciaragwo arĩ mũgĩ
Gũtirĩ ũcokaga harĩa arũmîirwo kaara
Gũtirĩ ũikagia itimũ atarĩ na harĩa akũratha
Gũtirĩ ũkinyaga mũkinyĩre wa ũngĩ
Gũtirĩ ũndũ ũtarĩ kĩhumo
Gũtirĩ ũrĩragio nĩ ũkĩa wene
Gũtirĩ ũrĩragio nĩ ũtonga no ũkĩa
Gũtirĩ ũrirũ ũtonwo
Gũtirĩ ũru ũtũũraga, no wega ũtũũraga
Gũtirĩ ũta ũtarĩ nyama
Gûtirî ûthomaga na rîene
Gũtirĩ ũthũire tiga akĩaga
Gũtirĩ wa nda na wa mũgongo
Gûtirî wairegi ûtûire
Gũtirĩ wĩriraga agĩkuua ta akĩiga thĩ
Gûtirî wîriraga agîthiî ta agîcoka
Gũtirĩ wĩtaga ithe wa ũngĩ baba
Gûtirî wîtemaga agîtemera ûrîa ûngî
Gũtirika gũteaga njamba noru
Gũtungata gũtingĩgiria mũndũ agatungatwo
Gwakîa gûtirî ngware îî mbico
Gwakĩa kwarama, gwatuka gwakundeera
Gweterera ti kûinaina
Handũ ha njũgũma na ha mũgwĩ hatiganaine
Handû harî athuri hatitangagwo maaî
Harîa îikagio tiho îgûaga
Haro nĩ ya mũka ũrĩ ĩhĩĩ
Haro nĩ ya mũka ũrĩ thirĩ
Hinya ndũigana ũrũme
Hinya ndũrĩ indo
Hiti cia kûraya itihinyagia mahîndî
Hiti ciathiĩ mbwe ciegangara
Hiti hûûnu îtaga hûûtu wamûtîrî
Hiti îrî kînyiria ndînoraga.
Hiti ĩtaga ĩrĩa ĩngĩ wa mũtĩrĩ
Hiti ndîheyagwo kerî
Hiti ndĩrĩaga mwana, na mũĩ ũrĩa ĩrĩ ngoroku
Hũngũ ĩgĩthiĩ igũrũ ndĩatigire thĩ kũrĩ kwega
Hũngũ ireraga harĩa mbũri ĩrathĩnjĩrwo
Hurûrû ĩthekaga rwaro
Hûthû nîyo îyûî
Igai rĩa mũtũndũ rĩtigiragia kĩrĩti kiunwo
Ĩganagwo yaarĩ iria yakua
Igego rîthekagia itimû
Ĩgîkua nî îikagia thari
Îgîtunywo mwana nî îikagîrio mûûngû
Îgũkua ĩhuragia kĩara
Igũrũ na aka itimenyagĩrwo
Igwa njîthî itirî njohi
Ihenya inene riunaga gîkwa ihatha
Ihenya rîa athuri nî kûengea
Ihiga rĩega rĩtiringanaga na thĩo njega
Ihĩĩ na igwa ikũragĩra ũthũ-inĩ
Îhaga îkiumwo
Îhîtagwo itanakîra
îikagio ndahi nî mwene
Îkîhîa ona mwene nî otaga.
Ikinya na thĩ itiaganaga
Ikinya rĩa mũkũrũ rĩkinyaga mũruna
îkugîrwo mbu nî aka ndîhonaga.
Îkûhîtia na mûgwî ndîrathaga na njoya
Îkûhûna ndîrî mûtî îtomba
Ĩkũrũma ndĩũragia mũgũgũta
Îkûrûndwo ndĩregaga ruoro.
Ĩkũrũra yarahũraga ĩmamiĩ
Ĩkũrũrio ti noru
Ikũũra inya na inyanya
Indo ciene irĩ mũtino
Indo nĩ kũrĩmithanio
Îngîhîtia na mûgwî ndîrathaga na njoya
Ĩreragĩra rũkũ-inĩ na ĩkaya kũigana.
Irî gîcegû kîmwe nî iminjanagîria rûrua
Irî Gîkûyû itirî Ûkabi
Ĩrĩ gũciarĩra riũa-inĩ yongithagĩria o ho.
Ĩrĩ gũkũra ĩrĩagwo iguku nĩ aka
Ĩrĩ gũkũra ndĩrĩ mwĩroreri
Irĩ gũthua ndongoria itikinyagĩra nyeki
Ĩrĩ gũtũ ĩhũgagia mwene
Irĩ gwĩthamba iticokaga gwota mwaki
Irĩ kanua itirĩ nda
Irĩ kũhĩa itiũragĩrwo
Ĩrĩ kũhĩnja ndĩrĩ munĩri ngũ
Ĩrĩ kũhũma ndĩrĩ mũtĩ ĩtangĩgwatĩrĩra
Ĩrĩ kũra ndĩrĩ mũhĩti
Ĩrĩ mũrungu ĩgiritagia ĩrĩ na hĩa
Ĩrĩ mũthece ndĩoyagĩra ĩrĩa ĩngĩ
Ĩrî ngumo ndîagaga mûrahi
Ĩrĩ nyite nĩ mũtego ndĩthũire gwĩteithũra
Ĩrĩ tha nĩ ĩrĩ iria
Ĩrĩ thoni ĩnyuaga munju
Irĩaga na mbugi kũrĩ ũgwati
Irima rĩrekagia rĩemba
Irimũ ikenagĩra ũndũ mũru
Irio hĩu itiumaga mbũri
Ĩrũgamaga nĩ ĩkurumaga
Ita cia maitho ititĩraga
Ita rîtarî ndundu rîgûthagwo na njûgûma îmwe.
Ita rĩtarĩ ndundu rĩtitahaga
Îtarî mûting'oe îhuragwo ngi nî Ngai.
Îtarî thahu îgunagwo nî ikoro rîa njîra.
Ĩte kuura ĩgwatagia rũhuho
îtegagwo na kîrîa îrîaga
Ithare rĩagũka rĩcokaga mũgumo
Ithe wa thaka ndarĩ matũ
Itherũ rĩtiringaga ini
Itherũ rĩtirutagĩrwo mũguĩ
Itherũ riumaga mbaara
Itherũ rĩũragaga ndebe
Itherũ ti mũguĩ
Ĩthimbaga na ndũire
